IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.218.48.92,8080,8080,false,HKG,Asia Pacific,Hong Kong,62,18.40
47.76.77.103,443,443,true,HKG,Asia Pacific,Hong Kong,1,18.28
118.26.38.134,443,443,true,HKG,Asia Pacific,Hong Kong,1,17.70
158.101.137.74,80,80,false,HKG,Asia Pacific,Hong Kong,0,16.63
141.147.168.159,80,80,false,HKG,Asia Pacific,Hong Kong,0,16.10
8.218.48.92,8880,8880,false,HKG,Asia Pacific,Hong Kong,64,15.76
8.217.193.25,2086,2086,false,HKG,Asia Pacific,Hong Kong,69,14.33
8.217.193.25,2087,2087,true,HKG,Asia Pacific,Hong Kong,70,13.98
8.217.193.25,8080,8080,false,HKG,Asia Pacific,Hong Kong,65,13.19
141.147.189.242,80,80,false,HKG,Asia Pacific,Hong Kong,0,12.80
156.251.226.106,1111,2086,false,HKG,Asia Pacific,Hong Kong,68,12.44
43.154.104.77,443,443,true,HKG,Asia Pacific,Hong Kong,1,12.40
34.97.254.165,443,443,true,HKG,Asia Pacific,Hong Kong,1,11.93
8.210.21.65,443,443,true,HKG,Asia Pacific,Hong Kong,0,11.79
202.81.231.150,443,443,true,HKG,Asia Pacific,Hong Kong,0,11.73
103.235.18.153,10020,443,true,HKG,Asia Pacific,Hong Kong,68,11.43
8.218.105.223,80,80,false,HKG,Asia Pacific,Hong Kong,1,11.19
8.217.193.25,8880,8880,false,HKG,Asia Pacific,Hong Kong,66,10.81
132.145.121.175,80,80,false,HKG,Asia Pacific,Hong Kong,1,10.66
8.218.48.92,2082,2082,false,HKG,Asia Pacific,Hong Kong,61,10.38
132.226.6.5,2083,2083,true,HKG,Asia Pacific,Hong Kong,173,10.35
141.147.189.242,2086,2086,false,HKG,Asia Pacific,Hong Kong,173,9.44
47.245.41.169,8080,8080,false,HKG,Asia Pacific,Hong Kong,320,8.97
8.218.48.92,80,80,false,HKG,Asia Pacific,Hong Kong,1,8.12
47.76.33.40,80,80,false,HKG,Asia Pacific,Hong Kong,0,8.02
45.152.65.221,33135,443,true,HKG,Asia Pacific,Hong Kong,104,7.81
45.39.198.83,56765,443,true,HKG,Asia Pacific,Hong Kong,99,7.35
138.3.211.101,80,80,false,HKG,Asia Pacific,Hong Kong,2,7.10
103.74.192.149,34237,2096,true,HKG,Asia Pacific,Hong Kong,102,6.52
140.238.54.149,80,80,false,HKG,Asia Pacific,Hong Kong,2,6.42
8.222.153.11,80,80,false,HKG,Asia Pacific,Hong Kong,2,6.26
132.226.6.5,80,80,false,HKG,Asia Pacific,Hong Kong,0,6.19
140.238.52.81,80,80,false,HKG,Asia Pacific,Hong Kong,1,6.07
47.245.41.169,2096,2096,true,HKG,Asia Pacific,Hong Kong,295,5.87
45.136.15.230,52077,443,true,HKG,Asia Pacific,Hong Kong,112,5.18
158.101.155.158,2087,2087,true,HKG,Asia Pacific,Hong Kong,177,5.17
8.217.193.25,8443,8443,true,HKG,Asia Pacific,Hong Kong,66,5.13
131.186.37.191,2053,2053,true,NRT,Asia Pacific,Tokyo,97,4.99
