IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
34.117.254.68,80,80,false,HKG,Asia Pacific,Hong Kong,0,17.07
47.236.161.155,80,80,false,HKG,Asia Pacific,Hong Kong,1,16.94
8.219.173.239,80,80,false,HKG,Asia Pacific,Hong Kong,3,16.84
47.236.88.181,80,80,false,HKG,Asia Pacific,Hong Kong,1,16.60
34.160.196.135,80,80,false,HKG,Asia Pacific,Hong Kong,0,15.02
8.219.248.170,2053,2053,true,SIN,Asia Pacific,Singapore,103,14.83
8.222.138.164,2082,2082,false,SIN,Asia Pacific,Singapore,89,14.47
47.236.172.71,80,80,false,HKG,Asia Pacific,Hong Kong,0,14.18
8.222.219.34,80,80,false,HKG,Asia Pacific,Hong Kong,11,14.08
8.219.3.53,443,443,true,HKG,Asia Pacific,Hong Kong,0,13.74
47.236.97.90,8880,8880,false,SIN,Asia Pacific,Singapore,99,13.71
47.236.176.144,80,80,false,HKG,Asia Pacific,Hong Kong,0,13.50
8.222.146.222,8080,8080,false,SIN,Asia Pacific,Singapore,96,13.28
8.222.137.166,80,80,false,HKG,Asia Pacific,Hong Kong,7,13.08
34.120.254.145,80,80,false,HKG,Asia Pacific,Hong Kong,14,12.94
47.236.121.7,2086,2086,false,SIN,Asia Pacific,Singapore,102,12.91
8.222.154.227,80,80,false,HKG,Asia Pacific,Hong Kong,0,12.74
8.222.146.222,2053,2053,true,SIN,Asia Pacific,Singapore,98,12.60
8.219.240.160,443,443,true,HKG,Asia Pacific,Hong Kong,0,12.57
8.219.175.127,2095,2095,false,SIN,Asia Pacific,Singapore,94,12.47
8.219.204.120,80,80,false,HKG,Asia Pacific,Hong Kong,1,12.31
47.236.75.113,80,80,false,HKG,Asia Pacific,Hong Kong,5,11.88
47.236.83.239,2083,2083,true,SIN,Asia Pacific,Singapore,96,11.86
8.219.240.160,443,443,true,HKG,Asia Pacific,Hong Kong,0,11.86
47.236.114.23,80,80,false,HKG,Asia Pacific,Hong Kong,2,11.85
47.236.117.48,2087,2087,true,SIN,Asia Pacific,Singapore,89,11.80
124.156.202.46,443,443,true,HKG,Asia Pacific,Hong Kong,0,11.55
47.236.169.164,80,80,false,HKG,Asia Pacific,Hong Kong,0,11.54
47.236.75.113,2083,2083,true,SIN,Asia Pacific,Singapore,103,11.51
